name_rom,name_kor,agency,birth,blood_type,height,weight,trainee_period,hobbies,speciality,url_video,rank1_num,rank2_num,rank3_num
Nagano Serika,나가노 세리카,AKB48,2001,O,157cm,43.5kg,4 years 2 months,"Mahjong, watching movies",dancing,https://www.youtube.com/watch?v=sMacZa4DVJY,72,81,76.0
Nakano Ikumi,나카노 이쿠미,AKB48,2000,--,166.7cm,50kg,4 years 2 months,"dancing, taking photos",dancing,https://www.youtube.com/watch?v=7pB4aktrytE,43,53,50.0
Nakanishi Chiyori,나카니시 치요리,AKB48,1995,O,160cm,49kg,6 years 11 months,facial expressions,"singing, dancing, voice imitations",https://www.youtube.com/watch?v=wHXPBo2wU0M,22,37,40.0
Mogi Shinobu,모기 시노부,AKB48,1997,AB,162cm,52kg,6 years 9 months,"watching k-pop idol videos while playing with a bunny, talking","moving ears by themselves, eating a snack off of face without picking it up",https://www.youtube.com/watch?v=1raBrdNgG_U,44,59,55.0
Muto Tomu,무토 토무,AKB48,1994,B,156cm,41kg,7 years 4 months,"dancing, gaming, eating snacks",playing piano,https://www.youtube.com/watch?v=72suU0iMUL8,23,28,32.0
Miyazaki Miho,미야자키 미호,AKB48,1993,O,160cm,--,10 years 8 months,traveling,"singing, dancing, speaking Korean, playing musical instruments",https://www.youtube.com/watch?v=vRYe5C0kKuE,17,16,15.0
Sato Minami,사토 미나미,AKB48,2003,O,152cm,42kg,1 years 8 months,playing with Liquid Monster and making fake food,making stuff,https://www.youtube.com/watch?v=hUTYJrUqP9g,57,66,59.0
Shinozaki Ayana,시노자키 아야나,AKB48,1996,B,155cm,42kg,6 years 9 months,"cooking, playing with puppies",calligraphy,https://www.youtube.com/watch?v=aafcFBaYmgY,84,87,77.0
Shitao Miu,시타오 미우,AKB48,2001,A,161cm,48kg,4 years 2 months,"reading, watching movies",playing Japanese traditional instruments,https://www.youtube.com/watch?v=zVNcRtiC5-w,41,45,39.0
Asai Nanami,아사이 나나미,AKB48,2000,O,166cm,--,1 year 8 months,listening to music,playing saxophone,https://www.youtube.com/watch?v=I07PRooRQu0,26,41,42.0
Oda Erina,오다 에리나,AKB48,1997,A,165cm,--,4 years 2 months,listening to music,singing,https://www.youtube.com/watch?v=Y83bXNFeWlw,56,67,69.0
Iwatate Saho,이와타테 사호,AKB48,1994,B,157cm,44.5kg,6 years 9 months,"eating food, checking out restaurants (good reviews), going to the bookstore","speaking French, aroma therapy, being able to differentiate cheeses",https://www.youtube.com/watch?v=SlQF0qQKiIo,46,24,24.0
Ichikawa Manami,이치카와 마나미,AKB48,1999,A,157cm,43kg,5 years 5 months,"playing games, watching movies",dance,https://www.youtube.com/watch?v=uc8CETXQCIc,79,83,87.0
Chiba Erii,치바 에리이,AKB48,2003,--,162cm,40kg,3 years 1 month,collecting makeup,"singing, idol dancing",https://www.youtube.com/watch?v=viLCqF7X5jE,27,38,23.0
Kojima Mako,코지마 마코,AKB48,1997,--,163cm,48kg,6 years,"playing games, dance covers, walking, chatting","dancing, exercising",https://www.youtube.com/watch?v=sLt1Rfw3Et8,12,23,25.0
Takahashi Juri,타카하시 쥬리,AKB48,1997,A,159cm,44kg,7 years 4 months,"going shopping, listening to music, watching movies, exercising","singing, playing drums",https://www.youtube.com/watch?v=NMOrByG0lwg,20,29,20.0
Takeuchi Miyu,타케우치 미유,AKB48,1996,O,156cm,42.5kg,8 years 9 months,"making arrangements, cooking, exercising","singing, writing lyrics and composing, playing piano",https://www.youtube.com/watch?v=halg0YTUfN4,39,11,8.0
Honda Hitomi,혼다 히토미,AKB48,2001,A,158cm,44.4kg,4 years 2 months,watching cooking videos,"singing, dancing, cheerleading",https://www.youtube.com/watch?v=jOHm_O0_elE,30,47,22.0
Naiki Kokoro,나이키 코코로,NMB48,1997,A,163cm,48kg,4 years 7 months,"watching all kinds of videos, playing games","playing traditional guzheng, playing saxophone",https://www.youtube.com/watch?v=HQwyZSTe-YM,75,82,82.0
Murase Sae,무라세 사에,NMB48,1997,A,159cm,44kg,7 years 1 month,"playing the guitar, reading, watching movies, shopping","singing, speaking Korean, playing mahjong",https://www.youtube.com/watch?v=4phcTIajmP8,32,43,45.0
Shiroma Miru,시로마 미루,NMB48,1997,B,160cm,49kg,7 years 9 months,"snowboarding, watching movies, health conditioning, hiking",snowboarding,https://www.youtube.com/watch?v=ICxgH7aNhco,9,22,13.0
Umeyama Cocona,우메야마 코코나,NMB48,2003,O,157cm,40kg,2 years,collecting lip balm,pounding mochi,,94,95,
Uemura Azusa,우에무라 아즈사,NMB48,1999,O,157cm,44kg,3 years 4 months,uploading pictures onto SNS,"singing, playing piano, DJ",,93,96,
Kato Yuuka,카토 유우카,NMB48,1997,A,163cm,50kg,6 years 6 months,"snowboarding, reading","singing, dancing",https://www.youtube.com/watch?v=LKDuakn1_8w,71,73,73.0
Matsuoka Natsumi,마츠오카 나츠미,HKT48,1996,A,161cm,46kg,6 years 11 months,reading,talking fast,https://www.youtube.com/watch?v=X9rFQWBTSkw,35,55,52.0
Motomura Aoi,모토무라 아오이,HKT48,1997,A,155cm,43kg,6 years 11 months,nail art,"dancing, playing drums",https://www.youtube.com/watch?v=M6O4ZZl9E3c,37,42,36.0
Murakawa Bibian,무라카와 비비안,HKT48,1999,O,157cm,46kg,3 years 1 month,collecting clothes,"playing guitar, moving her eyebrows, sketching portraits",https://www.youtube.com/watch?v=1UfTSZG97aU,28,31,29.0
Miyawaki Sakura,미야와키 사쿠라,HKT48,1998,A,163cm,46kg,6 years 11 months,"enjoying movies, gaming",--,https://www.youtube.com/watch?v=H_LlH_QJ93E,1,5,3.0
Aramaki Misaki,아라마키 미사키,HKT48,2001,--,160.5cm,46.6kg,4 years 10 months,"collecting stuff related to the sea, watching random videos","flexibility, poker face",https://www.youtube.com/watch?v=PsrvLxnGR8U,50,61,66.0
Yabuki Nako,야부키 나코,HKT48,2001,--,149cm,40kg,4 years 10 months,eating ice,rapid hair braiding,https://www.youtube.com/watch?v=gHzKOpMkTo4,14,27,16.0
Imada Mina,이마다 미나,HKT48,1997,O,168cm,56kg,6 years 11 months,"fishing, listening to music","singing, fishing, speaking Korean",https://www.youtube.com/watch?v=FUtknXxudds,53,64,67.0
Tsukiashi Amane,츠키아시 아마네,HKT48,1999,O,153cm,42kg,1 year 11 months,"doing karaoke, listening to music","singing, playing drums",,78,91,
Kurihara Sae,쿠리하라 사에,HKT48,1996,O,164cm,50kg,4 years 10 months,watching movies,"dancing, playing bass [guitar]",https://www.youtube.com/watch?v=qB5CpLTP6rU,73,84,81.0
Tanaka Miku,타나카 미쿠,HKT48,2001,B,150cm,40.3kg,4 years 10 months,"watching movies, going to concerts","rolling pupils, flexibility",https://www.youtube.com/watch?v=C8IyrNrTC0k,63,71,72.0
Matsui Jurina,마츠이 쥬리나,SKE48,1997,B,163cm,--,9 years 11 months,"cooking, baking, pro wrestling","dancing, short-distance running, pulling a tablecloth",https://www.youtube.com/watch?v=zi5mieboB_c,4,12,12.0
Asai Yuuka,아사이 유우카,SKE48,2003,O,160cm,47kg,3 years 3 months,listening to music,"singing, playing trumpet",https://www.youtube.com/watch?v=vcM_huE5qHs,69,80,83.0
Yamada Noe,야마다 노에,NGT48,1999,A,160cm,45kg,2 years 11 months,eating,"dancing, calligraphy",https://www.youtube.com/watch?v=k4wn-hByoaE,45,9,11.0
Hasegawa Rena,하세가와 레나,NGT48,2001,O,163cm,47.5kg,2 years 11 months,"watching anime, watching baseball",acting,https://www.youtube.com/watch?v=D7L_jA-IDP8,61,54,63.0
